"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-0.23,2,586,422,0.14,1.38,4.23,2.46,4.75,0.63,0.62,1,79.7,86.3,0.65,0.37,-0.23,1," R"," ."," S08ESS3.4M13"
2,-0.95,2,586,486,0.16,1.11,1.01,0.88,-0.27,0.11,0.67,1,88,90.8,0.66,0.28,-0.94,1," R"," ."," S08ETS1.2M3"
3,-1.81,2,586,511,0.2,1.29,1.86,2.05,2.15,0.21,0.66,1,92,94.3,0.67,0.24,-1.8,1," R"," ."," S08LFS1.7Lsample"
4,-0.71,2,586,476,0.15,1.09,0.89,0.89,-0.29,0.11,0.66,1,88.1,89.5,0.66,0.3,-0.7,1," R"," ."," S08PHS3.4M7"
5,0.14,2,586,460,0.13,0.79,-3.13,0.55,-2.81,-0.41,0.68,1,87,83.9,0.65,0.3,0.14,1," R"," ."," S08ESS1.3M17"
6,-0.71,2,586,480,0.15,0.88,-1.24,0.47,-2.21,0.02,0.7,1,89.7,89.5,0.66,0.27,-0.7,1," R"," ."," S08ETS1.2H15"
7,-1.45,2,586,488,0.19,1.34,2.41,0.89,-0.19,0.56,0.69,1,89.7,93.1,0.67,0.27,-1.44,1," R"," ."," S08LFS1.6L6"
8,-0.53,2,586,483,0.15,0.85,-1.72,0.54,-2.05,-0.24,0.68,1,89.3,88.3,0.66,0.27,-0.53,1," R"," ."," S08PHS2.1L11"
9,0.27,2,586,454,0.13,0.98,-0.33,0.86,-0.8,-0.43,0.63,1,82.4,83.1,0.64,0.34,0.27,1," R"," ."," S08ESS3.3L1"
10,-0.93,2,586,474,0.16,1.09,0.87,0.8,-0.54,0.38,0.7,1,88.7,90.7,0.66,0.28,-0.92,1," R"," ."," S08LFS2.2M2"
11,-0.48,2,586,464,0.15,0.98,-0.2,0.76,-0.95,0.14,0.68,1,86.4,88,0.66,0.3,-0.48,1," R"," ."," S08PHS2.1M8"
12,0.17,2,586,466,0.13,0.8,-2.93,0.55,-2.88,-0.57,0.68,1,85.1,83.7,0.65,0.3,0.17,1," R"," ."," S08ESS3.4H4"
13,0.47,2,586,409,0.12,1.05,0.75,1.09,0.63,0.12,0.63,1,80.9,82,0.64,0.36,0.47,1," R"," ."," S08ESS1.2L6"
14,0.09,2,586,397,0.13,1.26,3.31,1.03,0.23,0.67,0.66,1,78,84.2,0.65,0.37,0.09,1," R"," ."," S08LFS1.7M8"
15,0.78,2,586,435,0.12,0.88,-1.98,0.73,-2.11,-0.6,0.65,1,81.5,80.3,0.63,0.35,0.78,1," R"," ."," S08PHS3.4H20"
16,-0.43,2,586,458,0.14,0.99,-0.12,0.76,-0.97,0.21,0.68,1,87,87.7,0.66,0.3,-0.43,1," R"," ."," S08ESS1.2H10"
17,0.04,2,586,449,0.13,1.02,0.23,0.82,-0.94,-0.1,0.65,1,84.3,84.5,0.65,0.33,0.04,1," R"," ."," S08ETS1.1H19"
18,1.95,1,586,302,0.11,1.01,0.29,1.09,0.77,0,0.59,1,75.7,76.3,0.6,0.41,1.96,1," R"," ."," S08LFS2.1H19"
19,0.86,2,586,435,0.12,0.8,-3.59,0.65,-2.91,-0.68,0.68,1,84.3,79.9,0.63,0.33,0.86,1," R"," ."," S08PHS2.2H14"
20,0.26,1,586,430,0.13,0.98,-0.28,0.93,-0.34,0,0.65,1,82.8,83.1,0.64,0.34,0.27,1," R"," ."," S08ETS1.1H10"
21,0.43,2,586,448,0.12,0.76,-3.89,0.54,-3.35,-0.48,0.69,1,87.4,82.2,0.64,0.31,0.43,1," R"," ."," S08LFS1.4H15"
22,1.21,1,586,363,0.11,1.3,4.85,1.35,2.69,0,0.54,1,70.6,78.4,0.62,0.44,1.21,1," R"," ."," S08PHS4.2H4"
23,0.7,2,586,351,0.12,1.26,3.95,1.48,2.96,0.67,0.61,1,76.3,80.7,0.64,0.41,0.7,1," R"," ."," S08ESS2.4M7"
24,1.16,1,586,367,0.11,1.43,6.7,1.77,5.18,0,0.5,1,69,78.6,0.62,0.46,1.16,1," R"," ."," S08ESS2.2H14"
25,0.22,2,586,440,0.13,1.03,0.47,0.84,-0.87,-0.12,0.64,1,82.4,83.4,0.65,0.35,0.22,1," R"," ."," S08ETS1.2H4"
26,-0.54,1,586,473,0.15,0.79,-2.52,0.5,-2.25,0,0.71,1,90.1,88.4,0.66,0.26,-0.53,1," R"," ."," S08LFS1.4H20"
27,0.89,2,586,382,0.12,1.01,0.27,0.86,-1.05,0.08,0.64,1,76.9,79.8,0.63,0.38,0.89,1," R"," ."," S08PHS1.3M9"
28,0.03,1,586,444,0.13,0.8,-2.93,0.58,-2.5,0,0.71,1,87.2,84.6,0.65,0.3,0.03,1," R"," ."," S08PHS2.2M9"
29,0.85,2,586,393,0.12,1.08,1.26,1.01,0.12,-0.03,0.62,1,76.5,80,0.63,0.39,0.85,1," R"," ."," S08ESS2.2H10"
30,1.8,1,586,315,0.11,0.97,-0.49,0.9,-0.82,0,0.61,1,78.4,76.5,0.6,0.4,1.8,1," R"," ."," S08PHS1.2H09"
31,0.63,2,586,405,0.12,0.85,-2.42,0.63,-2.88,0.02,0.68,1,83.2,81.1,0.64,0.34,0.63,1," R"," ."," S08LFS1.3H15"
32,-0.08,1,586,450,0.13,0.94,-0.71,0.94,-0.24,0,0.66,1,84.5,85.3,0.65,0.31,-0.07,1," R"," ."," S08ESS2.5H14"
33,0.2,2,586,427,0.13,0.98,-0.22,0.83,-0.97,0.12,0.66,1,83,83.5,0.65,0.34,0.2,1," R"," ."," S08PHS1.2M18"
34,1.15,1,586,368,0.11,1.67,9.82,2.18,7.31,0,0.43,1,62.7,78.6,0.62,0.5,1.15,1," R"," ."," S08LFS3.2H20"
35,1.08,2,586,367,0.11,0.91,-1.68,0.8,-1.69,0.08,0.66,1,80.5,78.9,0.63,0.36,1.08,1," R"," ."," S08PHS1.3H15"
36,-0.89,1,586,488,0.16,0.69,-3.26,0.56,-1.57,0,0.73,1,92.9,90.5,0.66,0.23,-0.89,1," R"," ."," S08LFS3.2M14"
37,1.23,2,586,354,0.11,1.02,0.42,0.96,-0.27,0.1,0.62,1,77.6,78.3,0.62,0.39,1.23,1," R"," ."," S08ESS2.4H15"
38,0.9,1,586,387,0.12,1.23,3.66,1.31,2.2,0,0.57,1,72.5,79.8,0.63,0.42,0.9,1," R"," ."," S08PHS2.2H4"
39,0.93,2,586,389,0.12,0.87,-2.24,0.74,-2.12,-0.06,0.67,1,82.4,79.6,0.63,0.35,0.93,1," R"," ."," S08LFS1.3H10"
40,1.25,2,586,351,0.11,1.21,3.5,1.15,1.23,0.12,0.57,1,70.9,78.2,0.62,0.43,1.25,1," R"," ."," S08ESS3.3H20"
41,1.17,2,586,360,0.11,0.75,-4.85,0.58,-4.05,0.08,0.7,1,85.7,78.5,0.62,0.33,1.17,1," R"," ."," S08PHS1.2H05"
42,1.06,2,586,379,0.11,1.1,1.62,0.94,-0.48,-0.05,0.61,1,72.5,79,0.63,0.4,1.06,1," R"," ."," S08LFS1.6H15"
43,0.53,2,586,397,0.12,1.06,0.96,1.07,0.48,0.23,0.64,1,81.3,81.6,0.64,0.37,0.53,1," R"," ."," S08ESS2.2L11"
44,1.23,2,586,383,0.11,0.98,-0.31,0.95,-0.41,-0.28,0.62,1,79.7,78.3,0.62,0.38,1.23,1," R"," ."," S08PHS4.2M19"
45,1.33,2,586,383,0.11,1,0,0.85,-1.32,-0.37,0.62,1,76.9,77.9,0.62,0.39,1.33,1," R"," ."," S08LFS2.2H4"
46,2.48,2,586,284,0.11,1.14,2.59,1.26,1.8,-0.3,0.55,1,72.3,75.9,0.58,0.43,2.48,1," R"," ."," S08ESS1.2H5"
47,1.72,2,586,314,0.11,0.9,-1.96,0.82,-1.63,0.1,0.64,1,79.5,76.7,0.61,0.38,1.72,1," R"," ."," S08LFS2.1H5"
48,2.05,2,586,275,0.11,1.19,3.54,1.3,2.29,0.22,0.53,1,70.7,76.1,0.59,0.44,2.05,1," R"," ."," S08ETS1.1M17"
