term,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
4.6,0,0,0,0,0.009
absorbed,0,0,0.007,0,0
absorbs,0,0,0.007,0,0
account,0,0,0,0,0.009
achieved,0,0,0,0.008,0
action,0,0.01,0,0,0
added,0,0,0.007,0,0
affect,0.007,0,0,0.023,0
air,0.007,0,0,0,0
amounts,0.007,0,0,0,0
amplitude,0,0.01,0,0,0
analog,0,0,0,0.008,0
anatomical,0.007,0,0,0,0
anatomy,0,0,0,0,0.009
animal,0.007,0,0,0,0
animals,0.007,0,0,0,0
arguments,0.007,0,0.007,0,0
arrangement,0.007,0,0,0,0
asexual,0,0,0,0.008,0
assumption,0.007,0,0,0,0
atmospheric,0,0,0.007,0,0
atomic,0,0.01,0,0,0
atoms,0,0,0.007,0,0
attractive,0.007,0,0,0,0
availability,0,0,0,0.008,0
average,0,0,0.007,0,0
based,0.013,0.027,0,0.014,0.005
behavior,0,0,0,0.008,0
behaviors,0.007,0,0,0,0
beneficial,0,0,0,0.008,0
billion,0,0,0,0,0.009
biodiversity,0,0,0,0,0.009
biological,0,0,0,0.008,0
body,0.007,0,0,0,0
brain,0,0,0,0.008,0
capita,0,0.01,0,0,0
catastrophic,0,0,0,0,0.009
caused,0,0,0,0.008,0
cell,0,0,0.014,0,0
cells,0.007,0,0.021,0,0
century,0,0,0,0.008,0
change,0.007,0,0.021,0,0
changed,0,0.01,0,0,0.009
characteristic,0.007,0,0,0,0
characteristics,0,0,0,0,0.009
chemical,0.007,0,0.021,0,0
chromosomes,0,0,0,0.008,0
circulation,0,0,0.007,0,0
claim,0.007,0,0.007,0.008,0
clarify,0,0,0,0.008,0
climates,0,0,0.007,0,0
colliding,0,0.01,0,0,0
combined,0,0,0,0,0.009
competing,0,0,0,0,0.018
complex,0.007,0,0,0,0
components,0,0,0,0.008,0
composed,0.007,0,0,0,0
composition,0,0.01,0,0,0
conditions,0.007,0,0,0,0
conduct,0,0.01,0.007,0,0
conserved,0,0,0.007,0,0
constraints,0,0,0,0,0.018
consumption,0,0.01,0,0,0
contact,0,0.01,0,0,0
continental,0.007,0,0,0,0
contribute,0,0,0.007,0,0
criteria,0,0,0,0,0.027
current,0,0.01,0,0,0
cyclic,0.007,0,0,0,0
cycling,0.011,0,0.017,0,0
data,0.033,0,0,0.023,0.037
decreases,0,0.01,0,0,0
define,0,0,0,0,0.009
depend,0.007,0,0,0,0
depends,0,0,0.007,0,0
describes,0,0,0.007,0.008,0
desired,0,0,0,0,0.009
development,0,0,0,0,0.018
device,0,0,0.014,0,0
differences,0,0,0,0,0.018
digitized,0,0,0,0.008,0
displays,0,0,0,0,0.018
distance,0.007,0,0,0,0
distribution,0.007,0,0,0,0
distributions,0,0.01,0,0,0
diversity,0.007,0,0,0,0
document,0.007,0,0,0,0
driven,0.007,0,0,0,0
drives,0,0,0.007,0,0
earth,0.013,0,0.007,0,0
earth’s,0,0.06,0,0,0
eclipses,0.007,0,0,0,0
ecosystem,0,0,0.007,0.016,0.009
ecosystems,0.007,0,0,0,0
effects,0,0,0,0.016,0.009
electric,0,0,0.007,0,0
embryological,0,0,0,0,0.009
empirical,0.007,0,0,0.008,0
encode,0,0,0,0.008,0
energy,0.014,0.022,0.08,0,0
ensure,0,0,0,0,0.009
environment,0,0,0,0.008,0.018
environmental,0,0,0,0,0.009
evaluate,0,0.01,0,0,0.018
events,0,0,0,0,0.009
evidence,0.039,0.05,0.015,0.039,0
evident,0,0,0,0,0.009
evolutionary,0.007,0,0,0,0
exerting,0,0.01,0,0,0
exist,0,0.01,0,0,0
existence,0.007,0,0,0,0
experimental,0,0.01,0,0,0
explanations,0,0.01,0,0,0
extended,0,0.01,0,0,0
extinction,0.007,0,0,0,0
factors,0,0,0,0.023,0
fields,0,0.01,0,0,0
flow,0,0,0.021,0,0
food,0,0,0.007,0,0
force,0.007,0,0,0,0
forces,0,0.01,0.014,0,0
forecast,0,0,0,0,0.009
formed,0,0,0,0,0.009
forming,0,0,0.007,0,0
forms,0.007,0,0,0,0
fossil,0.013,0,0,0,0
fossils,0.007,0,0,0,0
function,0,0,0.014,0.008,0
future,0,0,0,0,0.009
galaxies,0.007,0,0,0,0
gather,0,0,0,0.023,0
genes,0,0,0,0.008,0
genetic,0,0,0,0.031,0
geologic,0,0,0,0,0.009
geoscience,0,0.02,0,0,0
global,0,0,0,0.008,0
graphical,0,0,0,0,0.009
gravitational,0.007,0,0,0,0
gravity,0.013,0,0,0,0
groundwater,0,0.01,0,0,0
growth,0,0,0.007,0,0.009
harmful,0,0,0,0.008,0
hazards,0,0,0,0,0.009
heating,0,0,0.007,0,0
history,0.007,0,0,0,0.009
human,0,0.01,0,0,0.009
humans,0,0,0,0,0.009
ideas,0.007,0,0,0,0
identical,0,0,0,0.008,0
identify,0,0,0,0,0.018
impact,0,0.02,0,0,0.009
impacts,0,0,0,0,0.009
includes,0,0.01,0,0,0
increase,0,0,0,0.008,0
increases,0,0.02,0,0,0
individuals,0,0,0,0.008,0
influence,0,0,0,0,0.018
inform,0,0,0,0,0.009
information,0,0,0,0.047,0
inheritance,0,0,0,0,0.009
integrate,0,0,0,0.008,0
interact,0.007,0,0,0,0
interacting,0.02,0,0,0,0
interactions,0.02,0,0,0,0
investigation,0,0.01,0.021,0,0
