Standard,assigned,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
ESS1.1,1,0.992,0.002,0.002,0.002,0.002
ESS1.2,1,0.985,0.004,0.004,0.004,0.004
ESS1.3,1,0.983,0.004,0.004,0.004,0.004
ESS1.4,5,0.002,0.316,0.002,0.002,0.678
ESS2.1,3,0.003,0.132,0.859,0.003,0.003
ESS2.2,2,0.002,0.991,0.002,0.002,0.002
ESS2.3,1,0.991,0.002,0.002,0.002,0.002
ESS2.4,1,0.847,0.146,0.003,0.003,0.003
ESS2.5,1,0.989,0.003,0.003,0.003,0.003
ESS2.6,3,0.002,0.002,0.991,0.002,0.002
ESS3.1,2,0.002,0.993,0.002,0.002,0.002
ESS3.2,5,0.002,0.002,0.002,0.002,0.991
ESS3.3,5,0.003,0.003,0.003,0.003,0.987
ESS3.4,2,0.002,0.991,0.002,0.002,0.002
ESS3.5,4,0.003,0.003,0.003,0.99,0.003
ETS1.1,5,0.001,0.001,0.001,0.001,0.995
ETS1.2,5,0.003,0.003,0.003,0.003,0.987
ETS1.3,5,0.002,0.002,0.002,0.002,0.991
ETS1.4,4,0.002,0.002,0.002,0.991,0.002
LFS1.1,3,0.003,0.003,0.987,0.003,0.003
LFS1.2,3,0.004,0.004,0.983,0.004,0.004
LFS1.3,1,0.987,0.003,0.003,0.003,0.003
LFS1.4,1,0.994,0.001,0.001,0.001,0.001
LFS1.5,4,0.003,0.003,0.003,0.547,0.445
LFS1.6,1,0.666,0.003,0.327,0.003,0.003
LFS1.7,3,0.002,0.002,0.993,0.002,0.002
LFS1.8,4,0.002,0.002,0.002,0.992,0.002
LFS2.1,4,0.003,0.003,0.003,0.989,0.003
LFS2.2,1,0.983,0.004,0.004,0.004,0.004
LFS2.3,3,0.003,0.003,0.987,0.003,0.003
LFS2.4,4,0.003,0.003,0.003,0.989,0.003
LFS2.5,5,0.004,0.004,0.004,0.004,0.985
LFS3.1,4,0.002,0.002,0.002,0.994,0.002
LFS3.2,4,0.002,0.002,0.002,0.991,0.002
LFS4.1,1,0.995,0.001,0.001,0.001,0.001
LFS4.2,1,0.699,0.002,0.002,0.002,0.295
LFS4.3,5,0.002,0.002,0.002,0.002,0.993
LFS4.4,4,0.002,0.002,0.002,0.993,0.002
LFS4.5,5,0.002,0.002,0.002,0.449,0.544
LFS4.6,2,0.002,0.992,0.002,0.002,0.002
PHS1.1,2,0.004,0.985,0.004,0.004,0.004
PHS1.2,1,0.987,0.003,0.003,0.003,0.003
PHS1.3,4,0.003,0.331,0.003,0.66,0.003
PHS1.4,3,0.002,0.002,0.991,0.002,0.002
PHS1.5,3,0.003,0.003,0.987,0.003,0.003
PHS1.6,3,0.002,0.002,0.991,0.002,0.002
PHS2.1,2,0.003,0.989,0.003,0.003,0.003
PHS2.2,3,0.002,0.002,0.991,0.002,0.002
PHS2.3,4,0.003,0.003,0.485,0.506,0.003
PHS2.4,1,0.991,0.002,0.002,0.002,0.002
PHS2.5,2,0.002,0.991,0.002,0.002,0.002
PHS3.1,3,0.003,0.003,0.525,0.003,0.468
PHS3.2,1,0.99,0.003,0.003,0.003,0.003
PHS3.3,3,0.003,0.003,0.799,0.003,0.193
PHS3.4,3,0.002,0.002,0.993,0.002,0.002
PHS3.5,3,0.003,0.003,0.989,0.003,0.003
PHS4.1,2,0.002,0.991,0.002,0.002,0.002
PHS4.2,3,0.004,0.004,0.983,0.004,0.004
PHS4.3,4,0.002,0.002,0.002,0.993,0.002
